Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
AVXS,"Avexis Inc",217.01,"Avexis Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AWR,"American States Water Company",56.37,"American States Water Company",NYSE,"Utility - Water Supply",Utilities,N/A,N/A,N/A,N/A
AXAS,"Abraxas Petro Corp",2.71,"Abraxas Petro Corp",NASDAQ,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
AXDX,"Accelerate Diagnosti",22,"Accelerate Diagnosti",NASDAQ,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
AXE,"Anixter International Inc",58.3,"Anixter International Inc",NYSE,"Electronics - Parts Distrib","Computers and Technology",N/A,N/A,N/A,N/A
AXGN,"Axogen Inc",42.5,"Axogen Inc",NASDAQ,"Medical - Generic Drugs",Medical,N/A,N/A,N/A,N/A
AXL,"American Axle & Manufacturing",15,"American Axle & Manufacturing",NYSE,"Auto - Truck Original Parts",Auto-Tires-Trucks,N/A,N/A,N/A,N/A
AXON,"Axovant Sciences Ltd",1.11,"Axovant Sciences Ltd",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AXTI,"Axt Inc",6.55,"Axt Inc",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
AYR,"Aircastle Ltd",21.44,"Aircastle Ltd",NYSE,"Transportation - Equip & Lease",Transportation,N/A,N/A,N/A,N/A
AYX,"Alteryx Inc",32.69,"Alteryx Inc",NYSE,"Internet - Software","Computers and Technology",N/A,N/A,N/A,N/A
AZPN,"Aspen Technology",90.06,"Aspen Technology",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
AZZ,"Azz Inc",44.25,"Azz Inc",NYSE,"Machinery - Electrical","Industrial Products",N/A,N/A,N/A,N/A
B,"Barnes Group",55.7,"Barnes Group",NYSE,"Machinery - General Industrial","Industrial Products",N/A,N/A,N/A,N/A
BABY,"Natus Medical Inc",32.75,"Natus Medical Inc",NASDAQ,"Medical Instruments",Medical,N/A,N/A,N/A,N/A
BANC,"First Pactrust Bancorp",18.75,"First Pactrust Bancorp",NYSE,"Banks - Southwest",Finance,N/A,N/A,N/A,N/A
BANF,"Bancfirst Corp",57.6,"Bancfirst Corp",NASDAQ,"Banks - Southwest",Finance,N/A,N/A,N/A,N/A
BANR,"Banner Corp",58.42,"Banner Corp",NASDAQ,"Finance - Savings & Loan",Finance,N/A,N/A,N/A,N/A
BAS,"Basic Energy Services",13.02,"Basic Energy Services",NYSE,"Oil - Field Services",Oils-Energy,N/A,N/A,N/A,N/A
BATRA,"Liberty Braves CS A",22.32,"Liberty Braves CS A",NASDAQ,"Real Estate Operations",Finance,N/A,N/A,N/A,N/A
BATRK,"Liberty Braves CS C",22.79,"Liberty Braves CS C",NASDAQ,"Real Estate Operations",Finance,N/A,N/A,N/A,N/A
BBGI,"Beasley Brdcst Gr",11.75,"Beasley Brdcst Gr",NASDAQ,"Broadcast - Radio & TV","Consumer Discretionary",N/A,N/A,N/A,N/A
BBSI,"Barrett Business S",81.34,"Barrett Business S",NASDAQ,Outsourcing,"Business Services",N/A,N/A,N/A,N/A
BBW,"Build-A-Bear Workshop",8.8,"Build-A-Bear Workshop",NYSE,"Retail - Misc & Diversified",Retail-Wholesale,N/A,N/A,N/A,N/A
BCBP,"Bcb Bancorp Inc",15.3,"Bcb Bancorp Inc",NASDAQ,"Banks - Northeast",Finance,N/A,N/A,N/A,N/A
BCC,"Boise Cascade L.L.C.",41.95,"Boise Cascade L.L.C.",NYSE,"Building Products - Wood",Construction,N/A,N/A,N/A,N/A
BCEI,"Bonanza Creek Energy Inc",31.07,"Bonanza Creek Energy Inc",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
BCO,"Brink's Company",75,"Brink's Company",NYSE,Outsourcing,"Business Services",N/A,N/A,N/A,N/A
BCOR,"Blucora Inc",25.75,"Blucora Inc",NASDAQ,"Technology Services","Business Services",N/A,N/A,N/A,N/A
