VGK: Vanguard FTSE Europe ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18822011
Shares Outstanding: 318047000
Expense Ratio: 0.1%
Tracks This Index: FTSE Developed Europe Index
ETFdb.com Category: Europe Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGK


Holding,Symbol,Weighting
Holmen AB,HOLM.B,0.0235%
Freni Brembo SpA,BRE,0.0235%
Metro AG,B4B,0.0234%
Forbo Holding AG,FORN,0.0234%
OCI NV,OCI,0.0233%
Software AG,SOW,0.0233%
CA Immobilien Anlagen AG,CAI,0.0232%
Bechtle AG,BC8,0.0231%
Rockwool International A/S,ROCK.B,0.0231%
Bper Banca SpA,BPE,0.023%
Daily Mail and General Trust P L C,DMGT,0.023%
DKSH Holding AG,DKSH,0.023%
Azimut Holding SpA,AZM,0.023%
Close Brothers Group PLC,CBG,0.023%
Wizz Air Holdings PLC,WIZZ,0.0229%
Inmarsat PLC,ISAT,0.0228%
