Symbol	Description
CNGW	Genting Sin Mb Ecw180702
CNJW	Dbs Mb Epw180416
CNKW	Dbs Mb Ecw180416
CNLW	Ocbc Bk Mb Epw180702
CNMW	Ocbc Bk Mb Ecw180702
CNNU	Cromwell European Reit
CNSW	Hsi 32188 Vt Ecw180427
CNTW	Hsi 30688 Vt Epw180427
CNVW	Hsi 30200 Ub Ecw180628
CNWW	Hsi 31000 Ub Ecw180628
CNXW	Hsi 31800 Ub Ecw180927
CNYW	Hsi 28000 Ub Epw180628
COAW	Hscei 12400 Ub Ecw180628
COBW	Hscei 11200 Ub Epw180628
COEW	Hsi 29288 Vt Ecw180530
COFW	Hsi 27688 Vt Ecw180530
COGW	Hsi 26988 Vt Epw180530
COHW	Hsi 28188 Vt Epw180530
COI	Nikkoam-stc Asia_xj Reit Us$
COQW	Sti 3450 Mb Epw180629
CORW	Sti 3700 Mb Ecw180629
COSW	Sti 3250 Mb Epw180629
COTW	Sti 3500 Mb Ecw180629
COUW	Singtel Mb Ecw181015
COVW	Singtel Mb Ecw181008
COWW	Capitaland Mb Ecw181009
COXW	Yangzijiang Mb Ecw181009
COYW	Uob Mb Ecw180802
COZW	Uob Mb Ecw180801
CPAW	Uob Mb Epw180710
CPBW	Uob Mb Epw180709
CPCW	Ocbc Bk Mb Ecw180731
CPDW	Ocbc Bk Mb Ecw180726
CPEW	Ocbc Bk Mb Epw180816
CPFW	Dbs Mb Ecw180807
CPGW	Dbs Mb Ecw180806
CPHW	Dbs Mb Epw180718
CPIW	Dbs Mb Epw180716
CPMW	Kepcorp Mb Ecw180910
CPPW	Hsi 32400 Jp Ecw180427
CPQW	Hsi 29000 Jp Epw180427
CPRW	Dlc Socgen7xlonghsi 210114
CPSW	Dlc Socgen7xshorthsi 210114
CPTW	Dlc Socgen7xlonghsc 210114
CPUW	Dlc Socgen7xshorthsc 210114
CPVW	Dlc Socgen7xlongmsg 210114
CPWW	Dlc Socgen7xshortmsg 210114
CPZW	Uob Mb Ecw180806
CQEW	Bm Mobility Ltd. W210213
CQHW	Dbs Mb Ecw180810
CQIW	Kepcorp Mb Ecw181001
CQJW	Simsci 450 Mbl Ecw180629
CQKW	Simsci 380 Mbl Epw180629
CQLW	Marco Polo Marine Ltd. W230129
CQNW	Sembcorp Marine Mb Ecw181101
CQOW	Hsi 35688 Vt Ecw180730
CQPW	Hsi 33188 Vt Ecw180730
CQQW	Hsi 31688 Vt Epw180730
CQRW	Hsi 33688 Vt Epw180730
CQUW	Hsi 31600 Mb Ecw180427
CQWW	Hsi 28800 Mb Epw180427
CQXW	Dbs Mb Ecw180808
CQYW	Dbs Mb Epw180717
CQZW	Hsi 32600 Mb Ecw180427
CRAW	Hsi 29800 Mb Epw180427
CRBW	Dbs Mb Epw180719
CRCW	Sti 3450 Mb Epw180629a
CRHW	Genting Sin Mb Ecw180924
CRIW	Sembcorp Marine Mb Ecw181217
CRJW	F J Benjamin W210405
CRKW	Hsi 30800 Mb Epw180427
CRLR	Mtq Corporation Limited R
CRMR	Mtq Corporation Limited R1
CRNR	First Sponsor Group R
CROR	First Sponsor Group R1
CRPU	Sasseur Reit
CRQR	Raffles Education Corp Ltd R
CRRR	Raffles Education Corp Ltd R1
CRSW	Simsci 400 Mbl Ecw180928
CRTW	Simsci 350 Mbl Epw180928
CRUW	Kepcorp Mb Ecw181022
CRVW	Yangzijiang Mb Ecw181101
CRWW	Mtq Corporation Limitedw230417
CRXW	Hsi 30400 Mb Ecw180530
CRYW	Hsi 31200 Mb Ecw180530
CRZW	Hsi 29200 Mb Epw180530
CSAW	Hsi 30000 Mb Epw180530
CSBW	Hsi 30800 Mb Ecw180427
CSCW	Ocbc Bk Mb Ecw181101
CSDW	Ocbc Bk Mb Epw181101
CSEB	Firstsponsors$162m 3.98% Pccs
CSFU	Cromwell European Reit S$
CSHW	S&p500 2450 Mb Epw180921
CSIW	Thomson Med Grp Ltd W190424
CSJW	Singtel Mb Ecw181105
CSKW	Singapore Post Mb Ecw181122
CSLW	Hsi 32200 Mb Ecw180628
CSMW	Hsi 28600 Mb Epw180628
CSNW	Sti 3600 Mb Ecw180928
CSOW	Sti 3350 Mb Epw180928
CSTW	Ocbc Bk Mb Ecw181203
CSUW	Ocbc Bk Mb Epw181203
CSVW	Dbs Mb Epw181001
CSWW	Uob Mb Epw181001
CSXW	Hsi 32000 Mb Ecw180530
CSYW	Hsi 30800 Mb Epw180530
CTAW	Nikkei225 22500 Mb Ecw181214
CTEW	Nikkei225 23000 Mb Epw181214
CTFW	Simsci 450 Mbl Ecw180928
CTGW	Hsi 29400 Mb Epw180628
CTHW	Hsi 28000 Mb Epw180730
CTJW	Hsi 31400 Mb Ecw180628
CTKW	Hsi 33400 Mb Ecw180730
CTLW	Hsi 32000 Mb Ecw180830
CY6U	Ascendas India Trust
CZ4	Dutech Holdings Limited
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D11	Design Studio Furniture Mfrltd
D2U	Cacola Furniture Intl Limited
D50	China Great Land Holdings Ltd.
D5IU	Lippo Malls Indo Retail Trust
D6U	Dynamic Colours Limited
D79	C&g Env Protect Hldgs Ltd
D8DU	First Ship Lease Trust
DK2	Fibrechem Technologies Ncps
DM0	Psc Corporation Ltd
DU4	Mermaid Maritime Public Co Ltd
E16	Elec & Eltek Int Co Ltd
E23	Europtronic Group Ltd
E27	Eucon Holding Limited
E28	Frencken Group Limited
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E6R	Samko Timber Limited
E8Z	Roxy-pacific Holdings Limited
E90	China Sky Chem Fibre Co. Ltd.
E9L	Joyas International Hldgs Ltd
EB5	First Resources Limited
EB7	Ktl Global Limited
EE6	Mercator Lines (singapore) Ltd
EG0	Jes International Holdings Ltd
EH5	United Overseas Australia Ltd
ER0	Ksh Holdings Limited
ES3	Sti Etf
F03	Food Empire Holdings Limited
F10	F J Benjamin Holdings Ltd
F12	Fibrechem Technologies Limited
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F1E	Low Keng Huat (singapore) Ltd
F25U	Fortune Real Estate Inv Trust
F31	Fragrance Group Limited
F34	Wilmar International Limited
F3V	Sino Construction Limited
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
FP1	Dapai Intl Hldg Co. Ltd.
FQ7	Jasper Investments Limited
FQ8	China Sports Intl Limited
G07	Great Eastern Hldgs Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G11	Global Tech (hldgs) Limited
G13	Genting Singapore Plc
G1K	Lyxor Etf Msci Asia Apex 50 10
G1M	Lyxor Etf Msci Malaysia 10
G1N	Lyxor Etf Msci India 10
G1O	Lyxor Commodities Crbnonenergy
G20	Gp Industries Limited
G3B	Dbs Singapore Sti Etf
G41	G. K. Goh Holdings Limited
G50	Grand Banks Yachts Limited
G54	China Essence Group Ltd.
G5X	Anwell Technologies Limited
G92	China Aviation Oil(s) Corp Ltd
GG0	Ocbccapcorp(2008) 5.1%ncps 100
GU5	China Kunda Tech Holdings Ltd
H02	Haw Par Corp Ltd
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H16	Huan Hsin Holdings Ltd
H17	Hi-p International Limited
H18	Hotel Grand Central Ltd
H19	Hwa Hong Corporation Limited
H1N	Lyxor Etf Msci Emerging Mkt 10
H1O	Lyxoretf Msci Em Latin America
H1P	Lyxor Etf Msci World 10
H1Q	Lyxor Etf Nasdaq100 10
H20	Hoe Leong Corporation Ltd.
H22	Hong Leong Asia Ltd.
H27	Hlh Group Limited
H30	Hong Fok Corporation Ltd
H78	Hongkong Land Holdings Limited
HD6	Dbxt S&p 500 Short Etf 10
HD7	Dbxt Msci Taiwan Etf 10
HD8	Dbxt Ft China 25 Etf 10
HD9	Dbxt Ftse Vietnam Etf 10
HE0	Dbxt S&p Cnx Nifty Etf 10
i06	Intraco Limited
i07	Isdn Holdings Limited
